Predator,Habitat,Food and feeding
Pale Fox," Typically inhabits very dry sandy and stony subSaharan desert and semidesert areas, but its distribution extends southwards into moister Guinean savannahs to someextent. May occur near human habitation and cultivated fi�elds where food is morereadily available than in natural habitats",". Well—developed molars suggest Pale F oxes are essentially herbivo—rous, eating mainly berries, wild fruit such as melons, and vegetable matter. They alsofeed on small rodents, ground-nesting birds, small reptiles, and invertebrates. F omg—ing habits are unknown."
Pallas cat,"steppe and semi-desert areas with rock outcrops and talus slopes. Not usually found in areas with continuous snow cover, or in areas where snow depths exceed 1()cm. as it has diffi�culty moving in loose, deep snow. Dens, which may be in a rock crevices. marmot burrows, or under a boulder, are used year round. High altitude, steppe up to 3000—4000 m."," Diet consists mainly of pikas, gerbils, V0168, and hamsters, ground squirrels, hares, sandgrouses, and partridges. Stalks or ambushes prey near rocks andburrows. Not. adapted to running."
Pampas Fox," The. Pampas Fox is a typical inhabitant of the pampas grasslands of SouthAmerica's Southern Cone. It prefers Open habitats, tall grass plains and subhumidm (113' habitats, but is also common in ridges, dry serublands and open woodlands. In drier habitats in the southerly and easterly parts of its range, the species is replaced bythe South American Gray Fox.here its range overlaps with that of the Crab eating Fox, the Pampas Fox selects more open areas. Apparently it has been able to adapt tothe habitat alterations caused by extensive cattle breeding and agricultural activities.",". Like most other medium—sized foxes, the Pampas FOX is a general-ist and adaptable carnivore. Its diet shows great geographic variation and may includeboth wild and domestic vertebrates (particularly rodents and birds), fruit, insects, car-rion, and garbage. Based on stomach contents, wild mammals and sheep appearedto be the two most common food items in Uruguay, while in La Pampa Province,Argentina, European Hares and rodents were the most common food items, followedby birds and carrion. In Buenos Aires Province, Argentina, there was a high frequencyof rodents and birds, but also of insects, fruits, and crabs. Seasonal and local varia-tions in diet are likely connected to variations in food availability. The Pampas Fox isa solitary and opportunistic carnivore. Large, highly concentrated food resources (ie.large mammal carcasses) may cause several individuals to gather, possibly beyond theborders of normal home ranges. Food caching behavior has been observed, appar—ently related to an increase in the availability of rodents."
Pousargues mongoose," Savannah—forest mosaic, montane forest grasslands, and the thicketed shoresof Lake Albert. Said to rest in holes in trees and termite mounds.",. The digging claws and unspecialized teeth suggest that the dietmay include fossorial invertebrates and small burrowing vertebrates.
Puma," The Puma is usually associated with remote, rugged terrain where there is cover for stalking and ambush-hunting, secure places to establish natal dens, and at least one species of abundant deer-sized prey. It has been suggested that Viable populationsof Puma are impossible without at least one species of deer sized prey. Its extensive dis-tribution throughout the Western Hemisphere, from sea level to more than 4000 m elevation, suggests a tolerance of environmental conditions that is rare among mammals.Habitat use can be highly seasonal where prey species such as Elk migrate altitudinal in response to snowfall, or can be annually static, for example, in subtropical southeiast florida, where prey species have stable annual home ranges. Specific habitat preferenc-es are as variable as the regions in which the Puma lives, and range from mixed Conifer and curleaf mountain mahogany vegetation in rugged topographyin wyoming to subtropical hardwood hammocks, pineflatwoods and palm forests in southern florida female puma locate decretive natal dens in boulder piles dense vegetation of other natural structures that provide some protection from the elements and reduce detection by potential predators. In Florida these sites tended to be at least one km from a paved road, and were usually located within dense thickets of saw palmettowhich provided vertical cover, horizontal cover, and reduced temperaturescompared to  outside air where the species is dependent upon forest, occupied areas tend to be at least 20,000 ha without major roads. The Species increasingly is found  in landscape patches that have been fragmented by expanding human activity andinfrastructure such as highways, ranches, produce farms, human settlements, and extractive industries, In these areas, remnant landscape Connections and restored habitat corridors can be  important demographic linkages. In Florida and California dispersing individuals are tolerant of habitat that may include canals, highways, relatively open terrain. and other features that are usually recognized as barriers by resident adults.",". The Pumas extensive distribution is reflected in a diverselist of prey: In general, Puma from temperate Climates eat larger prey than Puma from tropical climates, and solitary adults tend to eat larger prey than females with kittens the smaller prey size ofPuma in the tropics may be the result of niche separation with the larger, socially dominant jaguar. Puma are ambush hunters; they utilize cover toclosely approach potential prey before an attack is made. Common prey in North america include Elk, White-tailed Deer, Mule Deer, Wild Boar, Collared Peccary, porcupine rabbits, and hares. In South America common prey include vichaza guanco( [m.vwguanizop), brocket deer, Pampas Deer (Ozotocerox bezoartiws), pudu (P141114)agouti ,armadillo, and porcupine. Domestic stock is occasionally taken throughout the species range, and exotic species such as Wild Boar and European Hare can be important dietary components even where larger prey are available. In marginal habitat such as in the Everglades of southern Florida, atypical prey such as alligator (Alligutm mumsipiensis) and North American River Otter may be taken. This is the result of inhert-ly low populations Of Whitetailed Deer in the Everglades region. Puma routinely remove the entrails of large prey before caching and burying their kills with leaves and other debris for future use. The use of such kills may last from one to 27 days, Humans ( L1Halter the abundance and spatial use patterns of Puma and their prey through huntingand other activities. Historically, Puma predation on humans has been rare. although in recent years there has been an apparent increase in encounters. espet'iullx muilvingjuvenile or underweight cats. Many of these attacks have occurred in the urban rwilderness interface where the likelihood of an encounter increases with presence of humans in occupied peripheral Puma habitat."
Raccoon Dog," Typically found near water, and during autumn, habitat selection appears to be affected by reliance on fruits and berries. In Japan, Raccoon Dog habitat includesdeciduous forests, broad-leaved evergreen forests, mixed forests, farmlands, and ur-ban areas from coastal to subalpine zones. In the countryside, the species prefers herbaceous habitats and is less likely to use Cryptamm‘z'a plantations throughout theyear, although riparian areas are often used. In urban environments, Raccoon Dog sinhabit areas with as little as 5% forest cover. In the Russian Far East, they avoid dense forests in favor of open landscapes, especially damp meadows and agricultural land. In the introduced range, Raccoon Dogs favor moist forests and shores of rivers and lakes,especially in early summer. In late summer and autumn they favor moist heaths with abundant berries. In the Finnish archipelago, however, they prefer barren pine forests,where they feed on crowberries (Empetmm nigmm)",".F 00d and F ceding. Raccoon Dogs are omnivores and seasonal food habits shift as foodavailability Changes. In most areas small rodents form the bulk of their diet in all sea-sons. Frogs, lizards, invertebrates, insects (including adults and larvae of Orl/wptem,COZeO/Jtem, Hemiplem, Di/Jtem, Lepz’daptem, Odonata), and birds and their eggs are alsoconsumed, especially in early summer. Plants are eaten frequently; berries and fruitsserve as an important and favored food source in late summer and autumn, when Rae-Coon Dogs decrease their food intake before entering winter dormancy. Oats, sweetcorn, watermelon, and other agriculture products often are found in Raccoon Dogstomachs. Carrion, ﬁsh, and crustaceans are consumed when available. As opportun—istic generalists, Raccoon Dogs forage by searching Close to the ground and may alsoclimb trees for fruits. They mainly forage in pairs, usually wandering some distancelrom each other."
Red Fox,"Red foxes recorded in habitats as diverse as tundra, desert, grassland, and  forest as well as in cities. natural habitat is dry. Natural habitat is dry mixed landscape with mosaics of scrub woodland and farmland. they are also abundant on moorlande, mountains, deserts sand dunes and farmland from sea level to 45--m. Red foxes flourish in urban areas where they are most common in low density residential suburbs and ledd common in areas dominated by industry or commerce. in many habitats foxes appear to be closely associated with humans, even thriving in intensive agricultural areas. Also in large cities including washington DC london paris and stockholm.",". Adaptable :md nppnrlunislic nmnivnrvs. with n (livl mnging lrnminvm'lcln‘zllcs (tag. (‘m'IhWnrms :md lx‘cllcs) In mammals. birds. hull. and un‘rinn. Aspredators. lnxcs typically kill birds and mumnmls up In uhnul 3-5 kg. 'l‘hnv (‘nrhv l'nn(lthat is in cxccss nf lhcil‘ I'cquirmm‘nls :md haw :1 highly (Irvvlnpcd Im'mnry lnr Inm—linns nt' hnurds. Thcy scavenge in rural :u‘cus (cg. nn (lcvr um! shm-p (‘urmssvs inEurope and (Izumdu. which may [)9 the magjnr lnnd snurcc in upland mum in winlm‘),and in urban areas (on bird—{bcdingl;1l)lcs,cnmpnsl hcups, 21nd rchlsc). 'l'hcy 2m: imlv-pendent and thus generally solitary Enragers. although individuals may Inmgc in (‘lnsoproximity where resources are clumped."
Red Wolf,"Very little is known about Red Wolf habitat because the Species� range was  reduced by the time scientific investigations began. Given their wide. historical distribution Red Wolves probably utilized a large suite of habitat types at (me time. The last naturally occurring population utilized the coastal prairie marshes of south-westen Louisiana :tiid south-eastem Texas. However, many agree that this environment prob-ably does not typify preferred Red Wolf habitat. There is evidence that the species was found in highest numbers in the. once extensive bottomland river forests and swamps  of the South-east. Red wolves reintroduced into North Carolina, and their descendants,have made extensive. use of habitat types ranging from agricultural lands to pocosins,which are fbrest/wetlund mosaics with an understory ofevergreen shrubs. This suggests that Red Wolves are habitat generalists and can thrive in most settings where prey popu-lations are adequate and persecution by humans is slight. This generalization is sup-ported by one study in which low human density, wetland soil type, and distance fromroads were the most important predictors of potential wolf habitat in North Carolina ",". Mammals such as Coypu (Myorastor coypus), rabbits (Svlm'lag'us spp.).zmd rodents (Sigmodon Inspidus, Oryzomys paluslm, 0ndalm zibethirus) are common inmuth-eastem Texas and appear to have been the primaiy prey of Red Wolves histori-(‘aliy Presently in North Carolina, \Nhite—tailed Deer (Odocoileus iliﬁgimanus), NorthernRaccoons, and rabbits are the primary prey species for the reintroduced population(86% 0f the diet). While it is not uncommon for Red \Nolves to forage individually,there is also evidence of group hunting by pack members. Also, resource partitioningamong members of a pack sometimes occurs. In one study Of pack feeding, rodentsWere consumed more by jUVeniles than adults, and use Of rodents diminished 215 the.‘I’L‘lhg wolves matured."
Ruddy mongoose," Dry forests, dry thorn areas, disturbed forests, and open areas. Recorded upIn 2200 m. On Sri Lanka, it appears to be conﬁned mostly to the lowland forests of thedry and intermediate zones",". Has been seen feeding on birds (including doves, partridges, andq uails), reptiles (rat snake), and the Long-tailed Climbing Mouse ( Vandeleun'a olemcea)."
Ruppells Fox," Typical habitat includes sand and stone deserts. In Saudi Arable, Rllppf‘il 5Fox has been found in open and stony habitat, Often With sparse vegetatum‘that ni-Cludes herb and grass species (Fagoma indica, Indigqfem spinyosa, Trib'ltlm' SPPf 3’ 111%!ng U?""{is spp., and Panicum turgidum). Annual rainfall averages 100 mm per year, w1th a man—mum of 240 mm per year. On the northern fringe of the Sahara, Riippell’s Fox nlmybe found in areas with up to 150 mm annual rainfall. In Morocco the general hzlbllzlloffers sparse to very sparse vegetation cover, dominated by small brushes (Hammaduscopan'a, Panicum turgidum, Fagom'a spp.) mostly concentrated in wadis (with A(‘(u‘mspp., Arganz'a spinosa, Balanites aegyplz'aca, Maerua cmssifolia, and Capparis demfdlm trees).Riippell’s Foxes also live in coastal areas with extremely sparse vegetation and no trees.They can survive in areas without any available water, as in central Saudi Arabia 0n thefringes of the Arabian Empty Quarter, in Algeria, and in the western Sahara.Food ",". Generalist predators, with 21 high invertebrate content in their diet,as well as rodents, lizards, snakes, birds, and wild fruits. Some studies have shown thatRiippell’s F oxes consume prey relative to availability, suggesting Opportunistic feedinghabits. Little is known about their feeding behavior except that they forage alone, andmay scavenge at camps and permanent human settlements."
Rusty spotted cat,"forest scrub, grasslands, rocky areas, hill slopes, and tea plantations.also reported from agricultural areas and Close. to human habitation.in india is thought to be absent from the wetter montane forests of the western ghats however in srilanka is found in humid montane forests to 2100m",little known diet thought to cinsist mainly of birds small mammals insects lizards and frogs also preys on domestic poultry ecellent tree climber but probably hunts mostly on the ground
Sand cat," Undulating stabilized dune areas, dry river beds and steppe with sparse grass and shrub cover; also uses shifting sand dunes and may be found in rocky deserts . Absent from heavier vegetated valleys within the desert, and rare in shifting sand dunes. Recorded up to 1200 111. Mean annual rainfall in habitat is2()—-—3(_)0 mm",". Mainly on small desert rodents, including Spiny Mice, gerbils, jerboas, but. also young of Cape Hare (Lepus mpensz’s); it will also hunt larks and consume reptiles such as skinks , geckoes, and snakes (Viperidac, (lolubridzle). Also eats insects capable of rapid digging to extract prey items. May cover kills with sand and returnlater to feed.independent of drinking water, they can satisfy their moisturerequirements from their prey, but drink readily if water is available. Scats are covered with  sand. ."
Sechuran Fox, Occupies a Variety Of habitats ranging from sandy deserts with low plant den-sin to agricultural lands and (113’ forests. F ew details of habitat preferences are. Known,". The Sechuran F 0x is a generalist Olnnivore that preferentially con-sumes vertebrate prey or carrion when available, but often depends predominantly 011seeds or seed pods. Feces collected during late winter and early spring in the inlandSechuran Desert contained mainly the remnants of undigested seeds or seed pods 0falgarrobo (Pmsopisjulfﬂom), zapote (Cappan's scabﬁda) and vizcacho (C. avicen’rzifolm).The syrupy matrix surrounding the seeds may be the actual source of nourishment.In a germination experiment, seeds recovered from feces sprouted earlier than thosegathered from the ground, suggesting that the foxes not only act as seed dispersers,but affect the ability of the seeds to germinate rapidly when sporadic rains occur. Foxdroppings along the coast contained crabs and several bird species. Following E1 Niﬁorains, fox droppings revealed a dramatic dietary shift to grasshoppers and mice (Par— alomys gerbillus) as these prey became more abundant. In central Peru, the main sum—mer foods were insects, scorpions (Can'm candicans), fruits, and rodents. The lack ofstanding water in the inland desert habitat suggests that the foxes can survive withoutdrinking. However, they may lick condensation from vegetation on foggy mornings.No food caching has been recorded."
Selous's mongoose,". Savannah grasfsland and Vicodland; absent from forest, desert, and semi—desert. Found in Acacia scrub and woodland (with a sandy substrate). 0an habitats(0n cultivated land or where bush clearing has taken place). and on f100dp121ins andgrasslands (with short grass and scanty cover). Not dependent on the availability ofwater and is known from areas with a mean annual rainfall of 400 to 1000 mm. ",". The diet is reported to include insects, mice, reptiles, amphibians.and eggs. The analysis of 51 stomach contents from Botswana and Zimbabwe showedthat insects had the highest percentage occurrence, including 43% Orthoptera(mainly grasshoppers and crickets), 43% Isoptera (termites, including Horlomrmzes mos—sambz'cus and Macrotermesfalciger), 37% Coleoptera adults (dung beetles Scarabaeidae,ground beetles Carabidae, weevils Curculionidae, water beetles Dysticidae, and CliCkbeetles Elateridae), 27% Coleoptera larvae (including ground beetles Tenebrionidae,dung beetles Scarabaeidae, and Click beetles Elateridae), 10% Lepidoptera (Pieridaebutterﬂies, Noctuidae moths, caterpillars of hawk moths Sphingidae, lace wings Neu-roptera, and Formicidae). Other food items were: 22% hunting spiders (Solifugidae,notably Solpuga monteimi), 18% scorpions (Opisthophthalmus zuahlbergi and Pambut/msgranulatus), 8% Aranea, and 8% Myriapods (Scolopendm morsitans). Among the yer.tebrates eaten were: 16% Muridae (Common African Fat Mouse Steatomys pratmsisand the Climbing Mouse Dendromus sp.), 14% reptiles (the Cape gecko Parlzydadyluscapensis, the spiny agama Agama hispida, Wahlberg’s snake—eyed skink Panasfis whiz!»bergz', the ornate sandveld lizard Nucms taeniolata, the striped skink Wlabuya sm'ala, theshield—nose snake Aspidelaps scutatus, Peters’ thread snake Leptotyphlops sruliﬁnns, theCape wolf snake Lycophidion capense, and Bibron’s burrowing asp Atmrmspis bilmmiz'),8% amphibians (toads Bufo sp., Delalande’s burrowing frog Tomoptmvza ddalandii, andBocage’s burrowing frog Leptopelz's bocagiz'), and 4% birds (remains of eggs). Selous’s Mongooses are avid diggers and excavate for beetle larvae among litter or at the basesof tufts of grass. They move with the head low and nostrils Close to the ground, whichsuggests that they locate their prey by smell. It is believed that they have good hearing.which may assist them in locating subterranean food."
Servaltine genet," Found in almost all types of grasslands and savannas in Africa. Tileition is Closely tied to water and associated Vegetation, reed beds and 11121131105. Shmv-times found along watercourses that penetrate semidesert and desert and in forest areas interspersed with grassy glades and edges. Also found in suhalpine habitats szlhigh moorlands to 3000 m, and in farmlands with high rodent densities. Theyare absent from the dense rain forests of Central Africa. Use medium and tall grasslandsand reed beds as rest sites, although in areas with greater disturbance from people and livestock frequently retreat to patches of woody vegetation during the day",". Specialized small mammal predators, well equipped to capture -rodents in tall grass. Over 90% 0f the diet consists of prey weighing less than 200 g Murid rodents dominate the diet. The multimammate mouse, Vlei rat, pygmy mouse,and various grass mice make up the bulk of the diet. Other murid prey include miter rats, mole rats, gerbils, Climbing mice, pouched mice, veld rats, groovetoothed rats,and black rats. Also eat shrews (Soricidae), golden moles (Chrysochloridae), cane nits(Th ryonomyidae), and Scrub Hare (Lejms saxatilis). They occasionally take larger preysuch as young Thomson‘s Gazelle and duikers, flamingos, black-bellied bustards (LIAson's melanogaster), and rails. They also prey on smaller birds such as waxbills 21nd quzuiefinches, larks, pipits, weavers, cisticolas, and swallows. Other prey includes grass and sand snakes (Colubridae), lizards (Agamidae), frogs, crabs, grasshoppers, crickets.and locusts. They have a specialized, almost fox like, hunting style. Their long legs pn )7\ide the large ears with a raised platform to “hear into” the tall grass. Long mobile and strong curved claws serve to hook prey from burrows 0r beneath vegetation, 'I'Ixm.locate their prey primarily by hearing and when hunting the cat walks slowly. stopping  periodically to listen. It may stop and sit for 15 minutes at a time, scanning the for sounds When it hears something move it locates the exact position ()1‘1Iiv sound then pounces like a fox, leaping into the air and striking the prey with a blow from one-or both feet. A single pounce may span 3-6 m and may be over one meter high if initial pounce is not successful it may be followed with a series of stiff legged  jumps. Have been seen leaping 2—3 in into the air to seize birds and insects in High!They also probe holes and crevices for nestling birds and rodents and um hunk lmﬁsh out of water. Strong winds disrupt its ability to hear and pinpoint the lumnx m ()|prey and hunting is often curtailed on windy days."
Short tailed mongoose," Primary and disturbed forest; often found Close to rivers and small streams.Occasionally recorded in plantations adjacent to forest. Found at low elevations (mPeninsular Malaysia, but has been recorded up to 1280 m on Borneo",". Reported to feed on small vertebrates, invertebrates, eggs, (mils.and room. The stomach content of one individual from north Borneo included {mg—ments ()finsects (scarab beetle, orthoptcrans). spider, crab, and a reptile egg. AnulhvrBorncan Specimen, collected from the banks ()f‘a stream, was found to hc‘ [111] uh m k—roaches."
Shorteared Fox,". l mHabitat. Favors undisturbed rainforest in the Amazonian lowlands. Recorded in a widevariety of lowland habitats, including terra ﬁrme forest, swamp forest, stands of ham—hoo. and primary succession along rivers. Sightings often associated with rivers andcreeks. and there are reliable reports of Short eared Dogs swimming in rivers. Records are  rare in areas with signfi�cant human disturbance, such as near towns or inagricultural areas. It is unclear whether the Short eared Dog is able to utilize habitats outside wet lowland forests, although it has been documented at 1200 m in the Ecua-doran Andes at the edge of cloud forest. ","F 00d and F eeding. A generalist carnivore with ﬁsh the most important item in theirdiet, according to one study at Cocha Cashu, Peru (present in 28% 0f21 scat samples).Insects (mainly Coleoptera) were the second most frequently occurringr item (17% ofsamples). Mammal remains, including agouti (Das'ypmrm spp.), marsupials, and smallrodents) were present in 13% 0f the seats and the remains of fruits were found in 10%.Fruits of the palm Euterpe pmntoria were found germinating in two seats, suggestingthat Short—eared Dogs may facilitate seed dispersal for some species. Short—eared Dogshave been reported to eat fallen Brosimum fruits, and the Cofan Indians of Ecuador re-port that they are attracted to fallen bananas. Close to 4% 0f droppings contained theremains offrogs, including Osteocephalus taminus, and this dietary habit is supported byindependent observations elsewhere. Crabs (10-55% of samples), birds (108%), rep-tiles (34%), and vegetable ﬁber (34%) were other components of the diet at CochaCashu. The Short—eared Dog has been reported hunting alone and in pairs."
Sidestriped Jackel,". Occupies a range of habitats, including broadleaved savannah zones, wooded habitats, bush, grassland, marshes, montane habitats up to 2700 m, abandoned cultiva-tion and farms. Tends to avoid open savannah, thickly wooded areas, and arid zones,but does enter the equatorial forest belt in the wake of human settlement. SidE-stripedjackals frequently occur near rural dwellings and farm buildings, and penetrate subur-ban and urban areas. Where Side-stripedJaCkals occur sympatrically with Golden andBlaCk—backfrd jackals, they may avoid competition by ecological segregation. In such areas of sympatry, Side-striped Jackals usually occupy areas of denser vegetation, andBlackbacked and GoldenJaCkals dominate in the more open areas.",". Omnivorous, with a diet that is responsive to both seasonal and :4C211 variation in food availability. On commercial farmland 111 [116 Zimbabwe highveld' Iht‘V 0211 mainly wild fruit (30%) and small (less than 1 kg) to medium-sizerl (more[huh 1 kg) munnnals (27% and 23%, respectively). The. remainder of their diet com-Priscs birds, invertebrates, cattle cake, grass, and carrion. In wildlife areas of'westernZimbabwe, Sicle-stripedjackals feed largely 011 invertebrates during the wet season andsmall mammals up to the size of Spring hares (Palettes mpmsis) during the dry monthsof the year. They scavenge extensively from safari camp rubbish dumps and occasion-:11]\' from large carnivore kills (although they are often out—competed for this resourcel)l\'(Blzu'k-l)ucke(1 jackals). In the Ngorongoro Crater, Side—striped jackals have beenrecorded competing with BlaCk—backed Jackals for Grant’s Gazelle (Nanger grantz')limns. Their diet may consist exclusively of certain fruits when in season. Apparentlyless predatory than other jackals, although according to one authority this may nothold when prey is highly available. The species forages solitarily, although in westernZimbabwe family groups have been Observed feeding together on abundant. resources,and as many as twelve have been counted at kills 0r scavenging offal outside towns.jackals have been described foraging opportunistically, exploiting food-rich habitatsby random walks, and they display an amazing ability to ﬁnd food where none seemsobvious to the human Observer."
Small Asian Mongoose," Dry dipterocarp forest, grassland, open areas, and secondary vegetation. Hasbeen observed in scrubby areas, lowland forests, and mixed deciduous forests in Laos,and was seen injava entering a paddy ﬁeld on the edge of a swamp forest. Trapped andcamera—trapped in open grassland in Khao Yai National Park (Thailand). Several ﬁeldobservations were Close to water",". The diet is said to include rats, birds, reptiles, frogs, crabs, andmsects."
Small Indian Mongoose," Forest, scrub, and open habitats. Also found Close to h uman habitations. ()nMauritius, a radiO-tracking study found that this species favored woodland and scrub. regions over other habitat types, and preferred riverine and dense I'orest at Iargerspatial scales.'  ",". Omnivomus. Mast of the dietary informatimi comes from intro-duced populations, but it is reported to eat rodents, snakes, insects, centipedes, andscorpions in its native range. The diet appears to vary according to the season and thelocality. Two specimen stomachs collected in the Rajasthan desert, India, containedremains of insects (Helico/m'r Im(rep/mlus, Antlzir sexgutlala, 810/) oﬁe-ntalus, ()nl/mp/mgmlongiromz's, and Giyl-us sagz’llatus) and a scorpion. In 56 stomachs from Puerto Rico, 31:"")food items were recorded, with the following frequency ofoccurrence: insects (56%).reptiles (17%), myriapods (12%), arachnids (8%), mammals (3%), crustaceans (1% ,)~asteroids (starﬁsh) (1%), amphibians (1%), and plants (11%). On St. Croix Island,36 stomachs contained insects (83%), toads (14%), mice [Mus musrulus (14%), ratsRattus mttus (14%), crabs (11%), birds (3%), poultry (3%), lizards Anolz's (043%), fruit(11%), and Other plant material (6%). On Viti Levu, Fiji, an analysis of 4404 seatsshowed that the diet. varied with the habitat: crabs were the main food in mangrove fur-ests, rats in Can€~ﬁ€1d5, and cockroaches in urban areas. In Hawaii, a preponderanceof cockroaches in the diet was reported. In the Caribbean, the Small Indian Mongoosewas observed eating toads (including the parotid glands, which are normally noxioust0 predators), and the eggs and young of the hawksbill sea turtle (Eretmoc/zdys imbn'm—ta) and leatherback turtle (Dermochelys (ro'rz'area). In Mauritius, 458 stomachs contained46% rodents and shrews, 20% Tail-less Tenrecs (Yknmc eumudatus), 20% invertebrates,18% refuse, carrion and plants, 15% reptiles and amphibians, and 6% birds; therewere seasonal Changes in the diet, with more insects eaten during the wet season.and more reptiles taken during the dry season. During the “inter 0n Korcula Island.Croatia, 184 food items were identiﬁed in 126 seats: the frequency of occurrence was66% plants (mostly the fruits ijuniperjunipm‘us axyredrus and strawbem' tree Arbu/mmzedo), 38% mammals (mainly wood mice Apodemus sylvatirus and rats Rallus sp. ). 223%arthropods (mainly Coleoptera and a few Orthoptera), 14% birds (mostly passerines).and 1% reptiles. Compared [0 introduced populations in tropical areas, individuals onKorcula Island ate more fruits and less insects and reptiles. The. killing method is e111—Cient; the canines are driven into the brain and vertebral column of rodents. birds, andsnakes. Centipedes and scorpions are bitten and repeatedly tossed before being um-sumed. Two individuals were reported working together to hunt crabs (AIefa/mgm/ismmessm') in Pearl Harbor, Hawaii; one turned over a stone, allowing the other [0 attackthe crab. I ndividuals are reluctant to enter water more than a fewcentimetres deep."
Snow leopard," Snow Leopards inhabit rugged and remotemountainous areas where the terrain  is broken by steep cliffs ridges. and ravines. The cats habitat is typically high rocky areas. alpine meadows. alpine steppe scrub. and high altitude forests. they generally spend the summer above tree line at elevations of 2700 to 6000m, but in winterdeep snow often forces wild ungulates to move to lower elevations and the Snow Leopards follow. The cats have also been found in isolated mountain massifs in mongolia.and to reach these sites they would have had to traverse 20 to (3:3 km of broad. flat,open terrain.",". Snow Leopards are capable of killing prey as much as three timestheir own weight. A large percentage  of their diet. consists of mountain-dwelling sheep and goats. Major prey species include bharal (llwudnis), Himalayan Tahr (Hmnz'lmgmjemlahirus), Markhor (Capra falmnm‘z'), Siberian lbex ((Ia/Im .s'z'bi'nm), Argali (0111's (1m-mnn), and Urial sheep (Owls orz'mmlis). In some areas wild asses (Equus), musk deer  Wild Boar (Sm 5170/21). and gazelles are also taken. Smaller prey such as marmots, pikas,hares and rabbits, pheasants, and voles are important food items, especially in summer. One estimate suggests that as much as 45% of the meat in a Snow Leopard's summer diet may come from marmots. The cat also preys on domestic sheep, goats, cows,horses, yaks, and dogs. An unusual amount of vegetation, especially twigs of myricaria and tamarix bushes (Tamaricaceae), have been found in Snow Leopard seats, suggesting that these cats deliberately eat plant matter. Snow Leopards hunt by walking animal trails, ridge lines, river terraces, and the beds of deep gorges. They usually avoid open, unbroken terrain. When hunting, they tend to attack from a vantage point above the prey and have been seen pursuing prey across slopes and down mountain-sides in Chases of 200—300 In. Prey are killed with a bite to the nape or the throat. Carcasses are often moved to avoid attracting the attention of crows and vultures. The cat will remain with the carcass for 3-5 days, or until only bones remain. Captives require about 1.5 kg of meat per day and in the wild an adult blue sheep will provide the cat with food for a week. Females rearing young require about three times the normal amount of food to rear two to three young. One female and her two cubs consumed an adult Bharal in less than 48 hours; a similar sized kill would sustain a single Snow' leopard for 3-5 days. T ."
Somali Dwarf mongoose," Principally arid, semi-desert grassland, scrub, bush, and dry open woodland,but, not Closed forest. Occurs at elevations up to 600 m in Ethiopia. Not water—depend—em. Uses termitaria and rocky outcrops for dens.",. Nothing known.
Somali slender mongoose, Appears to select dry areas. F ound up to 600 m in E thiopia ,Nothing known.
Striped-necked mongoose," Evergreen and deciduous forest. Seen in swampy clearings and along \Vilh‘llcourses, and also in plantations and open scrub. In Sri Lanka, its distribution nunencompass lowland dry forest; it is rarely sighted in disturbed areas or close 10 humansettlements. Recorded up to 2133 m",". The diet is reported to include small mammals, birds, hirds’ eggs;reptiles, insects, and roots. It has also been suggested that crabs, frogs. and lish maybe part Of the diet, due to its habit of hunting by the banks of rivers and frequentingswamps and flooded rice ﬁelds. This species has been Observed scavenging 011 Summit(Rum unicolor) and Indian Hare (Lepus nign'collis) , and seen foraging in soft, (lump miland swamps."
Swift Fox,"Predominately short grass and mixed-grass prairies in gently rolling or level terrain. In Kansas, Swift Foxes have been found to den and forage in fallow wheatfi�elds. Survival rates between foxes in grassland and cropland sites were not signifi�cantly different, suggesting that Swift Foxes may be able to adapt to such habitat in somecases. The distribution and density of dens are considered important components ofSwift FOX habitat requirements, particularly in terms of evading Coyote predation orRed Fox competition.",". Swift Foxes are opportunistic foragers, feeding on a variety of mam-mals, but also birds, insects, plants, and carrion. Leporids have been reported as aprimary prey item in several studies. In South Dakota, mammals accounted for 49% ofprey occurrences, with BlaCk—tailed Prairie Dogs (Cynomys ludovicianus) as the primaryprey item. In Kansas and Nebraska, murid rodents were the most frequently occurringprey. Insects also present, but likely to constitute only a small portion of biomass. Birdsand their eggs are also consumed, as are plant materials, including prickly pear cactusfruit, wild plums, and sunﬂower seeds, which are consumed relatively frequently butmost often in relatively small amounts. Swift Foxes are mostly solitary hunters. Cachingof food has been observed."
Tibetan Fox,"Upland plains ahd hiTls from about 2500—5200 m. Found in treeless alpine meadow, alpine steppe, and desert steppe. Most of the range lies in semi-arid to arid' environments with average annual precipitation of 100—500 mm, most of which occurs in summer. The climate is harsh, with temperatures reaching +30 0C in summer and dropping to —400C in winter",". Principal diet consists of pikas (Ochotona spp.) and rodents. Ananalysis of 113 droppings from north-western Tibet revealed 95% Plateau Pika (O(‘lm-10nd. ('mzaniae) and small rodents (Pitymus, Alticola, and Cn'cetulus spp.). A further 279?consisted of Tibetan Antelope (Pant/zolops hodgsoni), probably scavenged, and theremainder was made up of insects, feathers, Eplzedm berries, and other vegetation.Other reported prey items in the diet include Tibetan Woolly Hare (Lepus oiostolusland a lizard species (P/zﬁvnoceplzalus spp.). Himalayan Marmot (Marmara lzimalayma),musk deer (Mosclzus sp.), Bharal (Pseudoz’s nayaur), and livestock were present in drop—pings from eastern Qinghai Province, China. The foxes mainly hunt alone by trottingTthrougl‘l 0r stalking in Pika colonies."
